securities_trader,price,buy,sell,securities_trader_id,stock_id,date
第一忠孝,130.25,20,0,538D,0050,2023-12-05
第一忠孝,130.4,42,0,538D,0050,2023-12-05
第一自由,129.95,1000,0,538E,0050,2023-12-05
第一自由,130.1,100,0,538E,0050,2023-12-05
第一自由,130.3,10,0,538E,0050,2023-12-05
第一自由,130.4,77,0,538E,0050,2023-12-05
第一稻埕,129.9,1000,0,538F,0050,2023-12-05
第一稻埕,130.2,50,0,538F,0050,2023-12-05
第一稻埕,130.25,2000,0,538F,0050,2023-12-05
第一頭份,130.1,200,0,538I,0050,2023-12-05
第一頭份,130.2,0,2000,538I,0050,2023-12-05
第一頭份,130.3,0,914,538I,0050,2023-12-05
第一頭份,130.35,0,2000,538I,0050,2023-12-05
第一頭份,130.4,39,2000,538I,0050,2023-12-05
第一安和,130.1,210,0,538j,0050,2023-12-05
第一安和,130.2,300,0,538j,0050,2023-12-05
第一安和,130.25,1000,4000,538j,0050,2023-12-05
第一安和,130.3,200,0,538j,0050,2023-12-05
第一安和,130.35,142,0,538j,0050,2023-12-05
第一安和,130.4,20,0,538j,0050,2023-12-05
第一嘉義,129.95,1000,0,538M,0050,2023-12-05
第一嘉義,130.1,50,0,538M,0050,2023-12-05
第一嘉義,130.25,40,0,538M,0050,2023-12-05
第一嘉義,130.3,400,0,538M,0050,2023-12-05
第一豐原,130.0,2000,0,538N,0050,2023-12-05
第一豐原,130.15,100,0,538N,0050,2023-12-05
第一豐原,130.3,100,0,538N,0050,2023-12-05
第一路竹,130.0,1000,0,538P,0050,2023-12-05
第一路竹,130.15,400,0,538P,0050,2023-12-05
第一路竹,130.2,2,0,538P,0050,2023-12-05
第一路竹,130.3,8,0,538P,0050,2023-12-05
第一路竹,130.35,1050,0,538P,0050,2023-12-05
第一路竹,130.4,0,171,538P,0050,2023-12-05
第一華江,129.9,2000,0,538W,0050,2023-12-05
第一華江,130.0,1000,0,538W,0050,2023-12-05
第一華江,130.05,1000,0,538W,0050,2023-12-05
第一華江,130.1,100,200,538W,0050,2023-12-05
第一華江,130.2,10,0,538W,0050,2023-12-05
第一華江,130.25,200,0,538W,0050,2023-12-05
第一華江,130.3,9,0,538W,0050,2023-12-05
第一華江,130.35,0,1600,538W,0050,2023-12-05
第一華江,130.4,50,0,538W,0050,2023-12-05
第一華江,130.55,0,1000,538W,0050,2023-12-05
第一中壢,130.2,10,0,538Y,0050,2023-12-05
第一中壢,130.25,115,0,538Y,0050,2023-12-05
第一中壢,130.3,200,0,538Y,0050,2023-12-05
永興台中,130.0,1000,0,5603,0050,2023-12-05
永興台中,130.2,50,0,5603,0050,2023-12-05
統一,129.9,0,100000,5850,0050,2023-12-05
統一,129.95,1000,20000,5850,0050,2023-12-05
統一,130.0,0,175000,5850,0050,2023-12-05
統一,130.05,1000,9000,5850,0050,2023-12-05
統一,130.1,38,0,5850,0050,2023-12-05
統一,130.25,205,0,5850,0050,2023-12-05
統一,130.3,159,77012,5850,0050,2023-12-05
統一,130.4,390,0,5850,0050,2023-12-05
統一高雄,130.0,1000,0,5851,0050,2023-12-05
統一高雄,130.2,1120,0,5851,0050,2023-12-05
統一高雄,130.3,100,0,5851,0050,2023-12-05
統一高雄,130.4,62,0,5851,0050,2023-12-05
統一敦南,130.0,1000,0,5852,0050,2023-12-05
統一敦南,130.4,211,0,5852,0050,2023-12-05
統一中壢,130.25,49,0,5853,0050,2023-12-05
統一中壢,130.3,10,0,5853,0050,2023-12-05
統一中壢,130.4,54,0,5853,0050,2023-12-05
統一城中,130.1,10008,0,5854,0050,2023-12-05
統一城中,130.2,1000,0,5854,0050,2023-12-05
統一城中,130.4,373,0,5854,0050,2023-12-05
統一台南,130.1,100,0,5855,0050,2023-12-05
統一台南,130.25,60,0,5855,0050,2023-12-05
統一台南,130.3,31,0,5855,0050,2023-12-05
統一台南,130.4,90,0,5855,0050,2023-12-05
統一台中,130.1,130,0,5856,0050,2023-12-05
統一台中,130.15,60,0,5856,0050,2023-12-05
統一台中,130.2,50,0,5856,0050,2023-12-05
統一台中,130.25,30,0,5856,0050,2023-12-05
統一台中,130.3,1000,0,5856,0050,2023-12-05
統一台中,130.4,365,0,5856,0050,2023-12-05
統一新竹,130.0,1000,0,5857,0050,2023-12-05
統一新竹,130.4,397,0,5857,0050,2023-12-05
統一嘉義,130.4,53,0,5858,0050,2023-12-05
統一屏東,130.05,1000,0,5859,0050,2023-12-05
統一屏東,130.4,98,0,5859,0050,2023-12-05
統一基隆,130.05,1000,0,585A,0050,2023-12-05
統一基隆,130.2,5,0,585A,0050,2023-12-05
統一內湖,130.0,1000,0,585b,0050,2023-12-05
統一內湖,130.3,10000,0,585b,0050,2023-12-05
統一內湖,130.4,86,0,585b,0050,2023-12-05
統一永和,130.0,1000,0,585B,0050,2023-12-05
統一永和,130.1,8,0,585B,0050,2023-12-05
統一永和,130.2,57,0,585B,0050,2023-12-05
統一永和,130.25,13,0,585B,0050,2023-12-05
統一永和,130.35,6,0,585B,0050,2023-12-05
統一永和,130.4,100,0,585B,0050,2023-12-05
統一新台中,130.0,1000,0,585D,0050,2023-12-05
統一新台中,130.1,100,0,585D,0050,2023-12-05
統一新台中,130.25,1006,0,585D,0050,2023-12-05
統一新台中,130.4,1418,0,585D,0050,2023-12-05
統一新台中,130.6,1000,0,585D,0050,2023-12-05
統一新營,130.1,720,0,585E,0050,2023-12-05
統一新營,130.4,82,0,585E,0050,2023-12-05
統一彰化,130.1,4,0,585F,0050,2023-12-05
統一彰化,130.2,77,0,585F,0050,2023-12-05
統一彰化,130.25,0,1000,585F,0050,2023-12-05
統一彰化,130.3,31,300,585F,0050,2023-12-05
統一彰化,130.4,143,0,585F,0050,2023-12-05
統一平鎮,130.4,7,0,585g,0050,2023-12-05
統一桃園,129.9,1000,0,585H,0050,2023-12-05
統一桃園,130.0,1000,0,585H,0050,2023-12-05
統一桃園,130.15,100,0,585H,0050,2023-12-05
統一桃園,130.4,206,0,585H,0050,2023-12-05
統一員林,130.4,95,0,585I,0050,2023-12-05
統一三重,130.0,1000,0,585J,0050,2023-12-05
統一三重,130.1,100,0,585J,0050,2023-12-05
統一三重,130.2,1000,0,585J,0050,2023-12-05
統一三重,130.25,10,0,585J,0050,2023-12-05
統一三重,130.3,100,0,585J,0050,2023-12-05
統一三重,130.4,57,0,585J,0050,2023-12-05
統一士林,130.3,1000,0,585M,0050,2023-12-05
統一士林,130.4,22,0,585M,0050,2023-12-05
統一板橋,130.4,36,0,585P,0050,2023-12-05
統一三多,130.4,106,0,585Q,0050,2023-12-05
統一汐止,130.0,1000,0,585R,0050,2023-12-05
統一汐止,130.1,1000,0,585R,0050,2023-12-05
統一汐止,130.2,100,0,585R,0050,2023-12-05
統一汐止,130.25,1,0,585R,0050,2023-12-05
統一汐止,130.35,9,0,585R,0050,2023-12-05
統一宜蘭,130.4,500,0,585S,0050,2023-12-05
統一南京,129.95,1000,0,585U,0050,2023-12-05
統一南京,130.0,1000,0,585U,0050,2023-12-05
統一南京,130.25,100,0,585U,0050,2023-12-05
統一南京,130.3,100,0,585U,0050,2023-12-05
統一南京,130.4,316,0,585U,0050,2023-12-05
統一金門,130.4,22,0,585W,0050,2023-12-05
統一土城,130.3,50,0,585Y,0050,2023-12-05
統一土城,130.4,51,0,585Y,0050,2023-12-05
統一松江,130.35,1000,0,585Z,0050,2023-12-05
統一松江,130.4,250,0,585Z,0050,2023-12-05
元富,130.0,20000,0,5920,0050,2023-12-05
元富,130.05,2000,0,5920,0050,2023-12-05
元富,130.1,1000,0,5920,0050,2023-12-05
元富,130.2,0,10040,5920,0050,2023-12-05
元富,130.25,143,0,5920,0050,2023-12-05
元富,130.3,33100,20000,5920,0050,2023-12-05
元富,130.4,154,0,5920,0050,2023-12-05
元富,130.5,0,10000,5920,0050,2023-12-05
元富,130.55,0,10000,5920,0050,2023-12-05
元富高雄,130.05,0,1000,5921,0050,2023-12-05
元富高雄,130.25,23,0,5921,0050,2023-12-05
元富高雄,130.35,96,0,5921,0050,2023-12-05
元富高雄,130.4,58,0,5921,0050,2023-12-05
元富新店,130.2,5,130,5922,0050,2023-12-05
元富新店,130.25,15,0,5922,0050,2023-12-05
元富新店,130.4,83,0,5922,0050,2023-12-05
